"pregunta","respuesta"
"¿Qué hace un átomo cuando le toman una foto?", "Se pone positivo para que la imagen salga electrizante!"
"¿Por qué los físicos no pueden jugar al escondite?", "Porque siempre saben donde están las partículas escondidas."
"¿Por qué los biólogos no hacen bromas con el ADN?", "Porque no quieren forzar la helice."
"¿Qué le dijo la placa tectónica a la otra placa tectónica cuando se encontraron en un terremoto?", "¡Nos vemos en la falla!"
"¿Cómo suena una neurona?", "Sinapsis sinapsis."
"¿Qué tipo de peces realizan las operaciones más precisas?", "El cirujano de pescados."
"¿Por qué el libro de matemáticas se deprimió?", "Porque tenía demasiados problemas."
"¿Cómo llama un químico a un chiste malo?", "Una reacción no prevista."
"¿Por qué las plantas odian las matemáticas?", "Porque les da problemas con las raíces cuadradas."
"¿Por qué los físicos nunca pueden empezar una carrera?", "Porque siempre se quedan en la línea de salida calculando la velocidad y la aceleración."
